"小悪魔A","Imp A"
"店員はくすくすと笑いながら貴方の突き上げを受け止め、
ぱんぱんとお尻を振り下ろすように、
何度もあなたの肉棒を飲み込む。",""
"<店員>
『そうですよね、
　最後の最後まで負けちゃうなんて悔しいですよね♪』",""
"<店員>
『で・も♡』",""
"店員は貴方の突き上げのリズムに合わせるのをやめ、
激しく腰を貴方に打ち付ける。",""
"何とかリズムをコントロールすることでこらえていた快感が、
突然彼女に主導権を握られたことで押さえられなくなる。",""
"<店員>
『こうして激しく腰をグラインドさせちゃえば、
　プレイヤーさんの抵抗なんて、
　簡単にねじ伏せちゃうんですよ♪』",""
"必死に快感に耐え、腰の突き上げがおろそかになった貴方に、
店員はそう言いながら激しく腰を動かす。",""
"<店員>
『プレイヤーさんはこうやって私に激しく責められると、
　我慢なんてできなくなっちゃうんですよね♪
　だって、プレイヤーさんは…………』",""
"<店員>
『\{\{マゾ♡\}\}なんですから♪』",""
"店員は貴方を見下ろし、
腰をグラインドさせながら艶やかに唇を動かしてそう告げる。",""
"<店員>
『プレイヤーさんはこうして、
　自分より弱い女の子に主導権を握られて、
　エッチで負けちゃうのが大好きなマゾ♡』",""
"店員は腰を貴方に打ち付け、蜜壺の奥まで肉棒を咥えこみ、
肉ひだで擦り上げながらそう言葉を続ける。",""
"貴方は快楽に歯を食いしばって、
否定の意味を込めて首を横に振る。",""
"<店員>
『いいえ、違いません♪だって、
　私がマゾって言った瞬間に、私の中で、
　プレイヤーさんのおちんちんがビクッてしましたよ♪』",""
"<店員>
『プレイヤーさん、貴方はマゾなんです♪
　女の子にリードされて、喜んじゃう変態さん♡』",""
"店員は貴方の否定を塗りつぶすように、
そう言葉を紡ぎながら激しい騎乗位で責め立てる。",""
"<店員>
『くす♪この勝負の結果なんて、最初から分かってましたよ♪
　マゾのプレイヤーさんのおちんちんが、
　私のおまんこに勝てるわけないんですから♪』",""
"<店員>
『ほら、ほら♡
　こうして私に上に乗られながら、
　おまんこで責められるのが気持ちいいんですよね♪』",""
"肉棒に彼女の蜜壺の肉ひだが絡みつき、
店員は貴方を快楽で翻弄しながらそう言葉責めを行う。",""
"そんな彼女の激しい騎乗位と言葉に、
貴方の我慢は削られ、
ついに自分から腰を動かすことさえできなくなってしまう。",""
"<店員>
『もう私にされるがままじゃないですか♪
　気持ちよすぎて、もう耐えることしかできませんか？』",""
"<店員>
『くす♪もうすぐ、プレイヤーさんが、
　大好きな敗北射精ができそうですね♪よかったですね♡』",""
"店員はそう貴方を煽りながらラストスパートに入り、
肉棒の先端を子宮口に押し付けるように激しく腰を振る。",""
"貴方は彼女の言葉を否定しようにも、
身体を震わせて射精を堪えるのが精いっぱいで、
その我慢の限界がすぐそこまで来ている。",""
"<店員>
『ほら、腰がもう浮いてきましたね♪
　私の中で、イってください♡
　私の騎乗位に搾り取られてください♡』",""
"<店員>
『騎乗位でおまんこに中出しして、
　私に勝てませんって♪
　えっちで今日も負けちゃいますって♡』",""
"<店員>
『認めろ♡\{\{マゾ♡』",""
"EXP60000を失った！
レベル\v[6]→\C[18]レベル\v[7]",""
"貴方は彼女が甘い声でそう語気を荒くし、
マゾと言いながら腰を振り下ろして肉棒を飲み込んだ瞬間、
大量の精液を彼女の膣内に注ぎ込んでしまう。",""
"<店員>
『んっ♡
　たくさん経験値ぴゅっぴゅ出来ましたね♪』",""
"<店員>
『どうですか？プレイヤーさん♡
　それでもまだ、
　私にこのマゾおちんちん虐めて欲しいですか？』",""
"<店員>
『この量の経験値なら……
　次、イっちゃったら最強から転落しちゃいますけど♪』",""
"<店員>
『また、何もできずにマゾおちんちん負けて、
　私のおまんこにレベルドレインされたいですか？』",""
"<店員>
『くす♪分かりました♪
　我慢なんてできない快楽で、プレイヤーさんから、
　また大切な経験値を搾り取っちゃいますね♪』",""
"店員はそう言うと、蜜壺を脈動させ、
肉棒に膣壁を絡みつかせてその固さを取り戻させる。",""
"<店員>
『いっぱい見下してあげますから、
　またレベルドレインで弱くなってくださいね♪
　つかの間の、最強プレイヤーさん♡』",""
"店員は貴方に背を向けながら、
再び腰を上下に振り始め、
温かな膣内で敏感な肉棒を肉ひだで撫でまわす。",""
"彼女が腰を動かすたびに、
キツい蜜壺が肉棒の形に密着しながら全体を擦り上げる。",""
"<店員>
『ほら、ほら♡
　恥ずかしい声、聞いてててあげますね♪
　最強になったのに、快楽に負けて転落しちゃうマゾの声♪』",""
"<店員>
『マゾおちんちんをおまんこの中で膨らませて、
　気持ちよくなることしか考えられない変態さんの声♡』",""
"店員は貴方の肉棒を蜜壺で飲み込み、
先端から根元まで擦る様に激しく腰を振り下ろす",""
"射精直後の激しい快楽に、
貴方は彼女の言葉を否定する余裕はなく、
ただただ身体を震わせて快楽に溺れてしまう。",""
"<店員>
『くす♪マゾって言われて、
　もう否定もできませんね♪』",""
"<店員>
『どんなモンスターにも負けない力があっても、
　えっちでは戦う力のない店員にも勝てない♡』",""
"<店員>
『見下されて、馬鹿にされて♡
　マゾおちんちん、
　すぐに気持ちよくなって敗北射精しちゃう♪』",""
"<店員>
『そんなマゾのプレイヤーさんには、
　最強なんて重すぎる肩書でしたね♡』",""
"腰を振りながらの彼女の言葉に、
貴方は何一つ反論できず、
激しい店員の騎乗位に限界が近づいてきてしまう。",""
"<店員>
『プレイヤーさんにはもったいない肩書♡
　私がおまんこでこのまま没収してあげますね♪』",""
"<店員>
『そして、そんなプレイヤーさんにぴったりの称号を、
　私がプレゼントしてあげます♪』",""
"店員はくすくすと笑いながら、
艶やかに唇を開いて言葉を告げる。",""
"<店員>
『\{\{ザ・コ♡\}\}』",""
"店員はそう甘い声を投げかけると、
貴方の限界を悟る様に腰を激しく振り下ろして、
ラストスパートに入る。",""
"<店員>
『ほら、出せ♡
　経験値が大量につまってる精液、
　私のおまんこに負けて出せ♡』",""
"<店員>
『\{\{イけ♡ザコ♡\}\}』",""
"EXP60000を失った！
レベル\v[7]→\C[18]レベル\v[8]",""
"<店員>
『んっ♡ごちそうさまです♪
　これで、”元”最強プレイヤー、ですね♡』",""
"<店員>
『また、最強になったら私のところに来てください♪』",""
"<店員>
『その不相応な肩書、
　マゾおちんちんからレベルを吸い出して、
　私が取り上げてあげますから♡』",""
"<店員>
『はい、これが今日の分のお代ですよ♪
　最強から転落した対価、大切に使ってくださいね♪』",""
"<アル>
『だ、大丈夫……？
　これからも、ちゃんと魔物と戦える…………？』",""
"”「バニーカード（Lv.26～38）」を所持”
→”Lv.39以上の状態で店員のレベルドレインを受ける”","Get level drained by Shopkeeper B while over level 39
and after obtaining 'Shopkeeper B Card (Lvl 26-38)'."""
"<店員>
『あら……おめでとうございます、お客様♡
　もうトッププレイヤーと言ってもいいレベルですね。』",""
"<店員>
『最初はおっぱいの中にあるにんじんを見るだけで、
　情けなく射精していたお客様の成長を考えると……
　なんだか感慨深いものがありますね♡』",""
"店員はゆったりと微笑みながら、
そう貴方を褒めるようにそっと貴方のほほを撫でる。
細い指先と妖艶な微笑みに貴方の胸はドクンと脈打つ。",""
"<店員>
『今のお客様になら、
　お望み通りにパイズリして差し上げられます♡
　これまでの苦労を思い返し、たっぷり感じてくださいね。』",""
"そう言いながら店員は貴方を寝かせると、
柔らかな乳房で肉棒を両側から挟み込む。
初めて彼女に会った時から待ち望んでいた光景と感触に、
貴方はビクンっと身体を震わせて喜んでしまう。",""
"<店員>
『ふふ♡ここまで成長するまでに、
　たくさんの強敵と戦ってこられたのですよね？
　そして、その強敵たちに勝利してきた……』",""
"<店員>
『いわば、お客様のおちんちんも、
　もう歴戦おちんちんに成長されてるんですよね♡
　私のおっぱいでの奉仕が通用するかどうか……♡』",""
"<店員>
『少し不安ですわ、お客様♡
　ですが、これも私に与えられた店員の役目……
　しっかりは出させてもらいますね♡』",""
"店員はゆったりと乳房を肉棒に押し付けながら、
そう不安を吐露する。
しかし、その表情は笑顔であり、
その不安が心からのものではないことは一目瞭然だった。",""
"実際、貴方は擦りつけられる滑らかな乳房の感触と、
絶妙な力加減で押し付けられる柔らかさに、
腰から力が抜けていってしまうのを感じる。",""
"<店員>
『ふふ♡感じてくださっているようで何よりです。
　幾多の戦いに勝利してきたお客様の歴戦おちんちんでも、
　こんな風におっぱいの中で震えてしまうのですね♡』",""
"<店員>
『大きなおっぱいに密着されて、包まれて…
　なすすべがないかわいそうなおちんぽ…♡
　すぐおっぱいで気持ちよくしてあげますから♡』",""
"店員は乳房の動きを徐々に激しくする。
カリ首に引っかかるような柔らかい乳肉に擦られ、
貴方は思わずうめき声を漏らしてしまう。",""
"<店員>
『あら、トッププレイヤーにまで成長したのに…
　私のパイズリで簡単に情けない声を出してしまうんですね♡
　このおちんちん、ちゃんと成長できているんですか？』",""
"<店員>
『もしかして……おっぱいに挟まれたにんじんを見るだけで、
　情けなく射精してた時と同じ…♡
　よわよわおちんちんのままなんじゃないですか？』",""
"店員は貴方のそんな反応にクスリと笑みを浮かべると、
からかうようにそう尋ねながら乳圧を強める。
彼女の甘い乳房の感触に溶かされながらも、
貴方はそんなことないと言葉を返す。",""
"<店員>
『そうですよね♡
　ちゃんとたくさんの敵と戦って、
　おちんちんも成長できていますよね♡』",""
"<店員>
『それなら、ちゃんと証明してくださいね？
　このおちんちんは私のおっぱいになんて簡単に屈しない、
　トッププレイヤーに相応しい強いおちんちんなんだって♡』",""
"<店員>
『こんな風に甘くおっぱいに溶かされて、
　おちんちんをむにゅむにゅ撫でられるだけで、
　簡単に情けない姿を見せちゃダメですよ♡』",""
"店員は貴方にそう言い聞かせながら、
柔らかく左右から乳房で肉棒を上下に擦る。
もちもちのみずみずしいおっぱいによる愛撫に、
貴方の思考はとろけてしまう。",""
"ここまで強くなったのだから、
彼女の言う通り簡単に情けない姿は見せられない……
レベルを上げることによって培われたプライドが、
貴方に快楽を抑えるように促す。",""
"<店員>
『その調子です、お客様。
　心ゆくまでおっぱいを楽しんでから、
　自分の意思で、好きな時に射精する…♡』",""
"<店員>
『それが、トッププレイヤーに相応しいおちんちんです。
　決して柔らかなおっぱいに負けて、暴発させられる……
　そんな負け犬おちんちんではないんですよ。』",""
"<店員>
『ですので、お客様もたっぷりおっぱいを味わって、
　おちんぽで征服してから……
　好きなタイミングでイける様に頑張ってくださいね♡』",""
"店員のそんな言葉に、貴方は我慢を促される。
しかし、その我慢やプライドも、
徐々に彼女の甘い乳房に溶かされているように感じる。",""
"彼女が手を動かすたびに、
柔らかくもちもちとした乳房が肉棒全体に擦れ、
その感触に思わず腰を震わせて反応してしまう。",""
"<店員>
『あら、お客様…もしかして…
　まだパイズリは始まったばかりだというのに、
　もうおちんちん気持ちよくなってしまったんですか？』",""
"<店員>
『おちんちんがこんなに気持ちよさそうに、
　私のおっぱいの中で震えてしまっていますね。
　とても、情けない姿…♡』",""
"<店員>
『トッププレイヤーとしておっぱいに奉仕させているのに、
　そのおっぱいが気持ちよくて逆に征服されちゃうなんて…
　とても恥ずかしいことなんですよ？』",""
"店員はそう言いながら、
乳房の感触を肉棒の芯まで刷り込むように、
両側かずりずりと甘くすり潰していく。",""
"そんな彼女の発破に貴方は理性ふり絞り、
快楽を何とか抑えようとする。
しかし、おっぱいの感触に我慢なんてできず、
快楽に顔を歪めて反応してしまう。",""
"<店員>
『ふふ♡そんなにつらそうな顔をしてしまって♡
　おっぱいにこうしてすり潰されるのが、
　そんなに気持ちいいんですか？』",""
"<店員>
『どうやらお客様のおちんちんは、
　トッププレイヤーには相応しくない、
　負け犬おちんちんだったみたいですね♡』",""
"店員はパイズリを続けながら、貴方の肉棒にそう評価を下す。
そんな彼女の言葉に顔を羞恥に赤く染めながら、
貴方は再度そんなことないと強がりを口にする。",""
"<店員>
『お客様、お気持ちは分かりますが……
　こんなにおちんちんを震わせながら、
　そんな強がりを言っても説得力がありませんよ♡』",""
"<店員>
『確かに、トッププレイヤーにまで上り詰めたのに、
　自分のおちんちんが負け犬おちんちんだって認めるのは、
　プライドが邪魔してとても難しいことだと思います。』",""
"<店員>
『ですが、ある意味誇らしいことなんですよ？
　それだけおちんちん以外が、
　立派だったということなんですから♡』",""
"店員はそんな貴方そう慰めながら、
柔らかくおっぱいを左右から肉棒に擦りつける。
その甘い感触にほだされながら、
貴方は彼女の甘い声をただ黙って聞くことしかできない。",""
"<店員>
『戦略の選び方、戦い方、剣の振るい方…
　そのどれもがきっと、
　トッププレイヤーに相応しいものなのでしょう♡』",""
"<店員>
『ですのでこうして、ここまで強くなれた…
　ですが、それが原因で勘違いしてしまったんですよ♡
　自分のおちんちんの強さを♡』",""
"<店員>
『自分はおちんちんも強いと思っていた、
　女性に簡単に負けてしまう負け犬おちんちんじゃない……
　そう、勘違いしてしまったんです♡』",""
"店員は貴方にそう言い聞かせながら、
柔らかな乳圧で肉棒を締め付け、おっぱいを感じさせる。
その甘い感触に溶かされ、
肉棒は嬉しそうに震え、我慢汁があふれてきてしまう。",""
"<店員>
『こうして受ける私のパイズリは、
　剣を振るう必要も、戦い方を選ぶ必要もありません♡
　関係あるのはただ、おちんちんの強さだけ♡』",""
"<店員>
『ですから、
　こんなに簡単に追い詰められてしまうんです♡きっと、
　普通の勝負なら私はお客様に手も足も出ませんよ。』",""
"<店員>
『ご安心ください、お客様♡
　私がお客様に勝てるのは、
　こうしたおっぱいとおちんちんの直接対決だけなんです♡』",""
"ショップ店員は笑みを浮かべながら貴方を慰める。
しかし、それは何の慰めにもならず、
自分のおちんちんが取るに足らないものだと、
突き付けられている用にしか感じない。",""
"それでも彼女のパイズリの心地よさに、
腰が震え、今にもイきそうになってしまう。
そんな貴方を見て、店員は妖艶に笑う。",""
"<店員>
『ほらほら、もう我慢できませんよね？
　おっぱいのもちもちの感触も、甘い乳圧も、
　楽しむ余裕なんて残っていませんよね♡』",""
"<店員>
『奉仕されるはずだったおっぱいに、
　逆におちんちんを制圧され、立場を叩き込まれ……
　情けなく暴発してしまってください、お客様♡』",""
"<店員>
『ふふ、たくさん出せましたね。
　おっぱいがお客様の精液でどろどろです…♡
　みっともない暴発射精、お疲れ様でした♡』",""
"店員は自身の乳白色の乳房にかかった、
どろどろの精液をくすくすと笑いながら見つめ、
貴方にそう言葉を投げかける。
貴方は恥ずかしさにうつむくことしかできなかった。",""
"<店員>
『今回の暴発射精で、
　かなりの量の経験値を出してしまったようですが…
　どうでしょう？まだ、搾り取りましょうか？』",""
"<店員>
『ご安心ください。
　今度は負け犬おちんちんでも楽しめるよう、
　ゆっくりと手加減したパイズリをしてあげましょう。』",""
"<店員>
『先ほどのパイズリは、
　トッププレイヤーに相応しいおちんちん用でしたから。
　今度はお客様にも楽しむ余裕があると思いますよ？』",""
"店員は柔らかく乳房で肉棒をむにゅりと締め付け、
甘く溶かしながらそう貴方を誘う。",""
"<店員>
『かしこまりました。
　それでは今度こそ私のもちもちおっぱい、
　心ゆくまでおちんちんでお楽しみください♡』",""
"<店員>
『ほら、柔らかく左右から擦りつけてあげますね。
　ゆったり…♡たぷたぷ…♡むにゅむにゅ…♡
　甘い感触をじっくりなじませてさしあげます♡』",""
"店員はその言葉通り、
先ほどまでとは違うゆったりとした動きで肉棒を愛撫する。
甘い乳房の感触が柔らかく肉棒にしみこみ、
溶けてしまいそうな快楽に貴方のほほが緩む。",""
"<店員>
『ご満足いただけているようで何よりです。
　何と言っても、お客様はトッププレイヤー♡
　このゲームのクリアに近いプレイヤーですから。』",""
"<店員>
『いくら弱い負け犬おちんちんの持ち主だとしても、
　その事実に変わりはありません。
　店員として、丁寧に接させていただきます♡』",""
"店員はそう言いながら、
奉仕するような甘いパイズリを続ける。
馬鹿にしているのか、褒めているのか、
分からないような言葉が甘い声で貴方の耳に響く。",""
"甘くゆったりとした乳房での愛撫に、
貴方の肉棒にはむずむずとした快楽がたまっていく。
まるでおっぱいと一体化したような肉棒に、
貴方の思考はどろどろに溶けてしまう。",""
"<店員>
『ふふ♡甘く、優しく、
　こうしておっぱいにゆったりと揺られるのが、
　そんなに心地いいんですね♡』",""
"<店員>
『店員の私としては少し物足りませんが……
　これ以上激しく動かしてしまえば、
　お客様が耐えられなくなってしまうので仕方ありません。』",""
"<店員>
『このままゆったりと、
　パイズリを続けて差し上げますね♡
　私のゆったりパイズリご奉仕を楽しんで…♡』",""
"<店員>
『この後はまた、心機一転。
　敵を倒し、ダンジョンの攻略に励んでくださいね。
　期待していますよ、お客様♡』",""
"甘く肉棒が溶けてしまうようなパイズリをされながら、
投げかけられる彼女の言葉に貴方は頷く。
こんなに心地いいパイズリのためなら、
貴方は何でも出来るような気がした。",""
"<店員>
『負け犬おちんちんの持ち主とは思えない、
　心強いお返事をありがとうございます。
　それではまだまだゆっくり、楽しんでくださいね♡』",""
"<店員>
『負け犬おちんちんでも暴発してしまわないよう、
　手加減しておっぱいでご奉仕して差し上げますから♡
　優しくおっぱいでなでなで…♡なでなで…♡』",""
"店員はゆったりとパイズリを続ける。
その言葉通り、これくらいの刺激ならまだまだ耐えられる…
彼女のおっぱいを楽しむ余裕があると自分でもわかる。",""
"しかし、そのじれったいような刺激に、
貴方は少しの物足りなさを感じてしまい、
何とも言えずにじっと店員の顔を見つめてしまう。",""
"<店員>
『お客様、どうしましたか？
　何か言いたそうな顔をしていらっしゃいますよ。
　遠慮なさらず、何でもお申しつけください。』",""
"<店員>
『トッププレイヤーのお客様のお願いなら、
　なるべく私も叶えさせていただきますから。
　ほら、何でもお申しつけください♡』",""
"ゆったりとしたパイズリを続けながら、
彼女は貴方にそう告げる。
そんな彼女の優しい態度に、
貴方は意を決してもっと激しくしてほしいとおねだりする。",""
"<店員>
『もっと激しくしてほしい、ですか？　
　……お客様、失礼ですが……お客様のおちんちんでは、
　これ以上激しくすると、また暴発してしまいますよ？』",""
"<店員>
『先ほどの射精で、理解できなかったのですか？
　お客様のおちんちんは、
　レベルに見合わない負け犬おちんちんなんです。』",""
"<店員>
『勘違いをしてはいけません。
　貴方のおちんちんには、
　これくらいのゆったりパイズリがちょうどいいんです。』",""
"そう優しく言い聞かせるような彼女の返答に、
貴方は何とも言えない表情を返す。
その間にも、肉棒にはむずむずとした快感がたまり、
もっと激しくしてほしいという欲求が強くなっていく。",""
"<店員>
『その顔は、納得して頂けていないようですね。
　まさかとは思いますが、お客様？
　もう一度おっぱいに暴発させられたいのですか？』",""
"<店員>
『こんな風なご奉仕パイズリではなく、　
　自分よりも強いおっぱいにもみくちゃにされて、
　おちんちん制圧されてしまいたいんですか？』",""
"彼女の嘲りと含んだその声と言葉に、
貴方は思わず違う、と反応してしまう。
しかし、彼女の言葉に背筋がぞくりと震えてしまう。",""
"<店員>
『何が違うというのですか？
　今、はっきりと激しくして欲しいと言いましたよね。
　耐えられないことが分かっているはずのパイズリ♡』",""
"<店員>
『私のおっぱいに制圧されたいという、
　情けない欲望の結露…それが先ほどのおねだりですよね？
　本当にみっともないお客様♡』",""
"<店員>
『かしこまりました。
　それではこのっぱいでお客様の負け犬おちんちん、
　制圧して暴発させてしまいますね。』",""
"<店員>
『無理やりおっぱいに搾りだされるほうがお好きなら、
　たっぷりと屈辱感に浸って射精してください♡
　トッププレイヤーの風上にも置けないマゾプレイヤー♡』",""
"店員は嘲笑を浮かべると、
柔らかく動かしていた乳房を激しく肉棒に擦りつける。
突然激しくなった快楽に、貴方の腰は跳ねてしまう。",""
"<店員>
『ほらほら、こんな風にされたかったのでしょう？
　全く…いくら強いと言っても、
　マゾの貴方にクリアなんてものは絶望的でしょうね。』",""
"<店員>
『いずれ、モンスターに搾りつくされて、　
　ゲームオーバーになるのは決まっているようなもの。
　丁寧に接する必要なんてありませんでしたか。』",""
"<店員>
『ご奉仕等と甘いことは言わず、
　こんな風に全力で経験値を搾り取って差し上げます♡
　マゾの貴方にはそんな経験値もったいないですから。』",""
"彼女の激しいパイズリに息も絶え絶えになりながら、
自分はマゾじゃないと、そう必死に強がる。
しかし、彼女の甘い乳房による激しい責めに、
あなたの肉棒は今にも屈してしまいそうになる。",""
"<店員>
『いいえ、貴方はマゾです。
　おちんちんだけでなく、心まで負け犬のマゾ♡
　それを自覚してください、お客様♡』",""
"<店員>
『ご奉仕パイズリよりも、
　こんな搾り取るようなパイズリの方がお好きなんでしょう？
　おっぱいに負けるのが興奮するのですよね。』",""
"<店員>
『ほら、おちんちんが涙を流して、
　おっぱいに負けたい、屈服したいとおねだりしていますよ。
　お望み通り、おっぱいで制圧してあげますね♡』",""
"店員はラストスパートに入る様に、
乳圧を思いっきり高め、上下に肉棒を揺さぶる。
全体を乳房にもみくちゃにされる感覚に、
貴方は腰を震わせて、射精の準備を整えてしまう。",""
"<店員>
『もう一度無様に暴発してしまってください。
　お客様がこれまで無駄に溜め込んだ経験値…
　私のおっぱいでたっぷり搾り取ってあげますから♡』",""
"甘い奉仕によって高められていた肉棒は、
呆気なく彼女の激しいパイズリに屈し、
大量の経験値が溶け込んだ精液を胸にはなってしまう。",""
"<店員>
『ふふ♡呆気なくまた、搾り取られてしまいましたか。
　馬鹿にされながら経験値を奪われるのは、
　マゾにとってはこれ以上ない快楽でしたよね？』",""
"<店員>
『まだ搾り取ってあげますよ、マゾ♡
　ですので……貴方の方からお願いしてください。
　おっぱいで経験値を搾り取ってくださいと。』",""
"おねだりする",""
"ここでやめてもらう",""
"<店員>
『情けないおねだり…♡
　もうすっかり快楽のいいなりですね。
　トッププレイヤーにしては随分無様じゃないですか♡』",""
"<店員>
『やはり、貴方がここまで強くなれたのはただのまぐれ…
　貴方はトッププレイヤーにふさわしくありませんね。
　もったいないですよ、貴方が無駄に溜め込んだ経験値♡』",""
"<店員>
『貴方の経験値はエネルギーに変換して、
　他のプレイヤーに有効活用してもらいますので。
　また、大量におっぱいに出してくださいね♡』",""
"店員はみっともなくおねだりした貴方を嘲笑いながら、
敏感な肉棒に激しく乳房を擦りつける。
酷い扱いをされても、その甘い感触に、
貴方の肉棒はビクビク震えて喜んでしまう。",""
"<店員>
『ほらほら♡もう楽しむ余裕なんて与えてあげませんよ。
　おっぱい揺らして、激しいパイズリで、
　すぐにこの負け犬おちんちんを屈服させてあげますから。』",""
"<店員>
『せいぜい、大切な経験値を、
　おっぱいに吸い取られる惨めな快楽で興奮することですね。
　そして、この後モンスターにでも負けてください♡』",""
"<店員>
『貴方が経験値をため込んでいることが、
　全プレイヤーにとっての損失でしかありません♡
　負け犬マゾの癖にレベルだけは高い貴方が♡』",""
"<店員>
『まだ、モンスターにすべて吐き出して、
　ダンジョンに還元したほうが有益というものです。
　分かりましたか？負け犬マゾのお客様♡』",""
"店員はひどい罵倒を続けながら、
的確に貴方の弱点に柔らかな乳房を擦りつけ、
貴方の意思をくじいていく、",""
"彼女のそのあんまりな言葉に、
反骨心や怒りがこみあげてきて、
快楽に溺れながらも思わず彼女を睨みつけてしまう。",""
"<店員>
『あら…なんでしょうか、その顔は。
　そこまで言われる筋合いはない、という顔ですね♡
　流石に腹が立ちましたか？』",""
"<店員>
『ですが、マゾがそんな顔をしても怖くはありませんね。
　ほら、こうして強く負け犬おちんちんを締め付けただけで、
　また気持ちよくなってしまうのでしょう？むぎゅぅぅ♡』",""
"店員は貴方の肉棒を高めた乳圧で思いっきり締め付ける。
肉棒の芯まで溶かされるようなその柔らかさに、
思わず貴方の身体は弓なりに跳ねてしまう。",""
"<店員>
『ふふ♡みっともないですね。
　どれだけ怒りを覚えたとしても、マゾの貴方は、
　結局おっぱいの前ではなにもできないのですよ♡』",""
"<店員>
『それはレベルを上げたって変わりありません。
　お客様の魂の根本にかかわることですもの。
　マゾは搾取される側…決して反対側には回れないのです。』",""
"<店員>
『なぜなら常に敗北の誘惑につきまとわれるから。
　貴方は多少持ちこたえたようですが……
　いつか堕ちてしまうのは目に見えています。』",""
"店員は貴方の末路を予言しながら、
乳圧を高めたまま激しいパイズリで肉棒を上下に揺さぶる。
その強い快楽に屈してしまいそうになりながら、
貴方は決して堕ちないと首を横にぶんぶんと振る。",""
"<店員>
『認めたくありませんか？
　ですが、おちんちんの方はそうは言っていないようですよ。
　私に馬鹿にされ、今にもイってしまいそうです♡』",""
"<店員>
『溜め込んだ経験値をおっぱいに搾り取られるのが、
　たまらなく気持ちいいんですよね？
　貴方の恥ずかしい欲望なんてお見通しです。』",""
"<店員>
『ほら、ほら、ほら♡
　もう負けてしまいますよ。おっぱいに負けて、
　大切な経験値を搾り取られてしまいますよ♡』",""
"店員は乳房を大きく揺らし、
貴方の肉棒を柔らかくもずっしりとした感触でシェイクする。
そのトドメをさすような快楽に、
貴方はびゅっと軽く甘イキしてしまう。",""
"<店員>
『もっとたっぷり出せますよね？
　貴方の経験値は私が責任持って受け止めますから。
　おっぱいの中で、暴発しなさい♡むにゅむにゅむにゅ♡』",""
"<店員>
『根こそぎ搾り取れましたね。
　合計するとかなりの経験値を、
　このおっぱいで搾り取ることが出来ましたか。』",""
"<店員>
『その分弱くなってしまったと思いますが…
　お客様のようなマゾにとってレベルなど飾りですよね。
　どうせいつかモンスターに負けてしまうのですから♡』",""
"<店員>
『まぁ、システムのルールですので。　
　一応経験値分のお金はお渡しします。お客様には、
　有効活用はできないでしょうけどね♡』",""
"貴方は78000G受け取った！",""
"<アル>
『\n[1]……だ、大丈夫？
　私は\n[1]ならクリアできるって、
　そう信じてる、大丈夫だよ！』",""
"<アル>
『だから、ね？
　これからも一緒に頑張ろうね！
　この店員さんを見返しちゃおう♪』",""
"放心状態の貴方の目の前で、
ぱたぱたと羽を揺らしながらアルがそう貴方を励ます。
アルのその言葉に、貴方は力なくうなずいた。",""
"<店員>
『あら、理性を働かせることはできるのですね。
　…これは、ご無礼を。先ほどは失礼いたしました。』",""
"<店員>
『お客様のゲームクリア……心より応援しております。
　このお金はぜひ、そのためにお使いくださいね。』",""
"貴方は52000G受け取った！",""
"<店員>
『そうですか……かしこまりました。
　それでは、これが今回の経験値分のお金です。
　お受け取り下さい。』",""
"貴方は26000G受け取った！",""
"<店員>
『お客様のゲームクリア、
　心より応援させていただきますね。
　これからも頑張ってください♡』",""
"EV048",""
"”「バニーカード（Lv.39～45）」を所持”
→”Lv.46以上の状態で店員のレベルドレインを受ける”","Get level drained by Shopkeeper B while over level 46
and after obtaining 'Shopkeeper B Card (Lvl 39-45)'."""
"<店員>
『おめでとうございます、お客様♡
　もう限界まで強くなられたようですね。』",""
"<店員>
『お客様であれば、
　このゲームのクリアも難しい話ではないでしょう。
　正直意外ですが…私の方が間違ってましたね。』",""
"店員はそう言うと、貴方に頭を下げる。
彼女にはこれまでぞんざいに扱われていた気がするが、
容姿端麗な彼女に頭を下げられれば、
それだけでどうでもよくなるように思える。",""
"<店員>
『ありがとうございます。
　それでは、前置きはこれくらいにして……
　そろそろレベルドレインを始めましょうか。』",""
"<店員>
『最強プレイヤーになったお客様ですから…
　おちんちんの方も少しは成長していますよね？
　私のおまんこで確かめてあげましょう♡』",""
"店員は貴方を押し倒すと、
すでに期待で大きくなった肉棒を割れ目にあてがい、
ぬぷりと生温かい蜜壺へと迎え入れる。",""
"<店員>
『まぁ、トッププレイヤーの時点では、
　まだまだよわよわおちんちんでしたので……
　あまり、期待はしていませんが♡』",""
"<店員>
『負け犬おちんちんなりに、
　最強プレイヤーの意地を私に見せてくださいね♡
　これが最後のレベルドレインですから♡』",""
"店員は貴方の上でクスリと微笑みながら、
ゆっくりと腰をグラインドさせる。
今度こそ彼女の失礼な態度を見返してやる、
そう強い意志を込めて、自分の方からも腰を突き上げた。",""
"<店員>
『あら、確かに意地を見せて欲しいとは言いましたが、
　無理はしなくてもいいんですよ？
　そんなに腰を突き上げてしまったら……』",""
"<店員>
『かえっておまんこに返り討ちにあい、　
　情けないおもらしをすぐにしてしまうことになりますから。
　じっくり、私の責めに耐えたほうがよろしいかと♡』",""
